Parts ,Nos.,Price,Link 
Esp 32 ,1,INR 549,https://www.oceanlabz.in/product/esp32-wroom-32-c-type-cp2102-usb-dual-core-wifi-bluetooth-38-pins/
MPU6050,1,INR 169,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/
INM441,1,INR 189,https://robu.in/product/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s/
Oled Display,1,INR 246 ,https://robu.in/product/1-3-inch-i2c-iic-4-pin-oled-display-module-with-vcc-gnd-blue/
Vibration motor ,1,INR 66,https://robu.in/product/dc-vibration-motor-module/
CD-42 Board,1,INR 74,https://www.flyrobo.in/5v-2a-charge-and-discharge-3.7v-4.2v-lithium-battery-boost-module?search=cd42&description=true
Battery ,1,INR 352,https://robu.in/product/wly394058-1000mah-3-7v-single-cell-rechargeable-lipo-battery/
Switch ,1,INR 17,https://robu.in/product/k2-1109df-h4sw-04-hroparts-12v/
Wires,2,INR 99(per 1),https://robu.in/product/12awg-solid-core-insulated-wire-silicone-black/
Bread Board,0,No worries I Have,
Delivery Costs,           For all,INR 350 or higer approx  ,
